"Timestamp","Are you a student?","What's the name of your school? (Ex. University of Maryland)","How many teachers / professors do you have?","How many of your teachers / professors record their lectures for students?","For the professors who record lectures (if any), how often do they record?","How often do you use websites to speed up your work as a student (ex. easybib or sparknotes)?","(Optional) Do you have any diagnosed learning disabilities?","(Optional) Add any additional comments below."
"2023/05/05 7:45:24 PM AST","College","Grove city college ","6","None","","Frequently (approximately multiple times per month)","No",""
"2023/05/05 7:46:57 PM AST","College","Grove City College","5","2","Not often. Only if someone is absent ","Frequently (approximately multiple times per month)","No",""
"2023/05/05 9:03:50 PM AST","College","Grove City College ","5","3","Every lecture ","Very Frequently (approximately multiple times per week)","No",""
"2023/05/05 9:11:32 PM AST","College","Grove City College","5","1","Everyime","Very Frequently (approximately multiple times per week)","No",""
"2023/05/07 9:53:25 PM AST","College","Grove City College","6","1","Not often","Frequently (approximately multiple times per month)","No",""
"2023/05/07 9:54:31 PM AST","College","Grove City College","5","3","Every lecture","Very Frequently (approximately multiple times per week)","No",""
"2023/05/07 9:57:00 PM AST","College","Grove City College","5","1","Infrequently ","Frequently (approximately multiple times per month)","No",""
"2023/05/07 10:06:08 PM AST","College","Grove City College","4","2","Always","Frequently (approximately multiple times per month)","No","Typically the websites I use are very specific engineering tools like steam tables"
"2023/05/07 10:07:17 PM AST","College","Grove City College ","5","1","Every class","Very Frequently (approximately multiple times per week)","No",""
"2023/05/07 10:08:48 PM AST","College","Grove City College","7","2","","Frequently (approximately multiple times per month)","No",""
"2023/05/07 10:11:09 PM AST","Middle School","Hustler University ","1","6","Never","Never","Yes","Real"
"2023/05/07 10:14:49 PM AST","College","Grove City College ","5","1","The one records snippets of things that students need help understanding ","Sometimes (approximately once a month)","No",""
"2023/05/07 10:18:42 PM AST","College","Grove City College","5","1","It depends on the week. It also depends if there are students missing from the class","Sometimes (approximately once a month)","No",""
"2023/05/07 10:19:06 PM AST","College","Grove city college","4","1","Only if they will be out of town for class, so a couple times per semester ","Sometimes (approximately once a month)","No",""
"2023/05/07 10:24:47 PM AST","College","Grove City College","7","3","When a student informs about needed absence prior to class","Sometimes (approximately once a month)","No","Nope"
"2023/05/07 10:24:54 PM AST","College","Grove City College ","1","None","","Very Frequently (approximately multiple times per week)","Yes","I am currently student teaching"
"2023/05/07 10:46:16 PM AST","College","Grove City College","6","2","When multiple students are missing","Frequently (approximately multiple times per month)","No",""
"2023/05/07 10:47:35 PM AST","College","Grove City College","5","2","3x/ week","Frequently (approximately multiple times per month)","No",""
"2023/05/07 10:49:05 PM AST","College","Grove City","5","3","Every time","Sometimes (approximately once a month)","No",""
"2023/05/07 10:54:35 PM AST","Grad Student","Johns Hopkins SAIS","5","None","","Sometimes (approximately once a month)","No",""
"2023/05/07 10:59:19 PM AST","College","Grove City College","4","None","","Frequently (approximately multiple times per month)","No",""
"2023/05/07 11:22:16 PM AST","College","Grove City College","6","None","","Frequently (approximately multiple times per month)","No",""
"2023/05/07 11:34:12 PM AST","College","Grove City College","2","None","","Frequently (approximately multiple times per month)","No",""
"2023/05/08 12:07:07 AM AST","College","Grove city college ","5","2","Everyday ","Frequently (approximately multiple times per month)","No",""
"2023/05/08 1:25:14 AM AST","College","Grove City college ","5","None","","Frequently (approximately multiple times per month)","Yes",""
"2023/05/08 8:09:46 AM AST","College","Grove","6","2","Every class","Sometimes (approximately once a month)","No",""
"2023/05/08 11:10:59 AM AST","College","Grove City College","6","1","Every Class","Sometimes (approximately once a month)","No",""
"2023/05/08 11:58:07 AM AST","College","Grove City College","5","3","Frequently","Frequently (approximately multiple times per month)","No",""
"2023/05/08 1:19:25 PM AST","College","Grove City College","5","3","Usually when students are absent","Sometimes (approximately once a month)","No",""
"2023/05/10 9:41:24 AM AST","College","Grove City College","4","None","","Sometimes (approximately once a month)","Yes",""
"2023/05/10 9:47:18 AM AST","College","Gcc","3","None","","Very Frequently (approximately multiple times per week)","Yes",""
"2023/05/10 9:50:15 AM AST","College","Grove city college","4","None","When someone had an excused absence ","Sometimes (approximately once a month)","No",""
"2023/05/10 9:58:03 AM AST","College","Grove City College","6","2","Only when students have an excused absence and talk to them prior to class","Very Frequently (approximately multiple times per week)","No",""
"2023/05/10 12:00:19 PM AST","College","Grove City College","5","None","","Never","No",""
"2023/05/10 1:47:51 PM AST","College","Grove City College","5","None","","Sometimes (approximately once a month)","No",""
"2023/05/10 5:00:46 PM AST","College","Grove City College","5","2","Every week","Frequently (approximately multiple times per month)","No",""
"2023/05/10 6:28:43 PM AST","College","Montgomery college ","3","2","I get 1-3 lectures per week from each professor, usually 30-60 mins long ","Never","No","The two professors who record lectures are from fully online courses. "
"2023/05/10 9:20:11 PM AST","College","Grove City College ","4","1","Only when students miss class for sports ","Very Frequently (approximately multiple times per week)","No","This is a great idea that can go a long way "
"2023/05/11 9:10:48 AM AST","College","Grove City College","6","2","Only when someone is sick w a provost","Sometimes (approximately once a month)","Yes",""
"2023/05/11 2:13:57 PM AST","College","Grove City College","5","None","N/A","Frequently (approximately multiple times per month)","No",""
"2023/05/11 3:40:04 PM AST","High School","Gravitas ","5","All","Every class","Never","No",""